Id,Gene,Family
XP_015765360.1,2-Hacid_dh_C,PF02826.22
XP_015765361.1,2-Hacid_dh_C,PF02826.22
XP_015765362.1,2-Hacid_dh_C,PF02826.22
XP_015752864.1,2-Hacid_dh_C,PF02826.22
XP_015768441.1,2-Hacid_dh_C,PF02826.22
XP_015770710.1,2-Hacid_dh_C,PF02826.22
XP_015770711.1,2-Hacid_dh_C,PF02826.22
XP_015752854.1,2-Hacid_dh_C,PF02826.22
XP_015752885.1,2-Hacid_dh_C,PF02826.22
XP_015752886.1,2-Hacid_dh_C,PF02826.22
XP_015766180.1,2-Hacid_dh_C,PF02826.22
XP_015766179.1,2-Hacid_dh_C,PF02826.22
XP_015772851.1,2-Hacid_dh_C,PF02826.22
XP_015752694.1,2-Hacid_dh_C,PF02826.22
XP_015755147.1,2-Hacid_dh_C,PF02826.22
XP_015758794.1,2-Hacid_dh_C,PF02826.22
XP_015776429.1,2-Hacid_dh_C,PF02826.22
XP_015765333.1,2-Hacid_dh_C,PF02826.22
XP_015772795.1,2-Hacid_dh_C,PF02826.22
XP_015753144.1,2-Hacid_dh_C,PF02826.22
XP_015763232.1,2-Hacid_dh_C,PF02826.22
XP_015779651.1,2-Hacid_dh_C,PF02826.22
XP_015775038.1,2-Hacid_dh_C,PF02826.22
XP_015756562.1,2OG-FeII_Oxy_2,PF13532.9
XP_015779281.1,2OG-FeII_Oxy_2,PF13532.9
XP_015765982.1,2OG-FeII_Oxy_2,PF13532.9
XP_015772969.1,2OG-FeII_Oxy_2,PF13532.9
XP_015766520.1,2OG-FeII_Oxy_2,PF13532.9
XP_015779280.1,2OG-FeII_Oxy_2,PF13532.9
XP_015768257.1,2OG-FeII_Oxy_2,PF13532.9
XP_015764343.1,2OG-FeII_Oxy_2,PF13532.9
XP_015753280.1,53-BP1_Tudor,PF09038.13
XP_015751071.1,53-BP1_Tudor,PF09038.13
XP_015757337.1,53-BP1_Tudor,PF09038.13
XP_015762714.1,53-BP1_Tudor,PF09038.13
XP_015764948.1,53-BP1_Tudor,PF09038.13
XP_015755699.1,53-BP1_Tudor,PF09038.13
XP_015748185.1,AAA,PF00004.32
XP_015774896.1,AAA,PF00004.32
XP_015770249.1,AAA,PF00004.32
XP_015780090.1,AAA,PF00004.32
XP_015753955.1,AAA,PF00004.32
XP_015775772.1,AAA,PF00004.32
XP_015775771.1,AAA,PF00004.32
XP_015752309.1,AAA,PF00004.32
XP_015761123.1,AAA,PF00004.32
XP_015761124.1,AAA,PF00004.32
XP_015774808.1,AAA,PF00004.32
XP_015759266.1,AAA,PF00004.32
XP_015760299.1,AAA,PF00004.32
XP_015780035.1,AAA,PF00004.32
XP_015748930.1,AAA,PF00004.32
XP_015765126.1,AAA,PF00004.32
XP_015765127.1,AAA,PF00004.32
XP_015752268.1,AAA,PF00004.32
XP_015752267.1,AAA,PF00004.32
XP_015756074.1,AAA,PF00004.32
XP_015758868.1,AAA,PF00004.32
XP_015759109.1,AAA,PF00004.32
XP_015763242.1,AAA,PF00004.32
XP_015749068.1,AAA,PF00004.32
XP_015764199.1,AAA,PF00004.32
XP_015773372.1,AAA,PF00004.32
XP_015773173.1,AAA,PF00004.32
XP_015765177.1,AAA,PF00004.32
XP_015763080.1,AAA,PF00004.32
XP_015752312.1,AAA,PF00004.32
XP_015766531.1,AAA,PF00004.32
XP_015774023.1,AAA,PF00004.32
XP_015755534.1,AAA,PF00004.32
XP_015773705.1,AAA,PF00004.32
XP_015769419.1,AAA,PF00004.32
XP_015769411.1,AAA,PF00004.32
XP_015769404.1,AAA,PF00004.32
XP_015760289.1,AAA,PF00004.32
XP_015769909.1,AAA,PF00004.32
XP_015780323.1,AAA,PF00004.32
XP_015750712.1,AAA,PF00004.32
XP_015752831.1,AAA,PF00004.32
XP_015760097.1,AAA,PF00004.32
XP_015765213.1,AAA,PF00004.32
XP_015764834.1,AAA,PF00004.32
XP_015761363.1,AAA,PF00004.32
XP_015752271.1,AAA,PF00004.32
XP_015779536.1,AAA,PF00004.32
XP_015770017.1,AAA,PF00004.32
XP_015780411.1,AAA,PF00004.32
XP_015773350.1,AAA,PF00004.32
XP_015773351.1,AAA,PF00004.32
XP_015755535.1,AAA,PF00004.32
XP_015750289.1,AAA,PF00004.32
XP_015761023.1,AAA,PF00004.32
XP_015755112.1,AAA,PF00004.32
XP_015766364.1,AAA,PF00004.32
XP_015766349.1,AAA,PF00004.32
XP_015775211.1,AAA,PF00004.32
XP_015747839.1,AAA,PF00004.32
XP_015749809.1,AAA,PF00004.32
XP_015758591.1,AAA,PF00004.32
XP_015753918.1,AAA,PF00004.32
XP_015761214.1,AAA,PF00004.32
XP_015749626.1,AAA,PF00004.32
XP_015760846.1,AAA,PF00004.32
XP_015753919.1,AAA,PF00004.32
XP_015779980.1,AAA,PF00004.32
XP_015757929.1,AAA,PF00004.32
XP_015765579.1,AAA,PF00004.32
XP_015749627.1,AAA,PF00004.32
XP_015771666.1,AAA,PF00004.32
XP_015753877.1,AAA,PF00004.32
XP_015775432.1,AAA,PF00004.32
XP_015749541.1,AAA,PF00004.32
XP_015763457.1,AAA,PF00004.32
XP_015765620.1,AAA,PF00004.32
XP_015759970.1,AAA,PF00004.32
XP_015752988.1,AAA,PF00004.32
XP_015747896.1,AAA,PF00004.32
XP_015769428.1,AAA,PF00004.32
XP_015755123.1,AAA,PF00004.32
XP_015754711.1,AAA,PF00004.32
XP_015747898.1,AAA,PF00004.32
XP_015747900.1,AAA,PF00004.32
XP_015778642.1,AAA,PF00004.32
XP_015747899.1,AAA,PF00004.32
XP_015747895.1,AAA,PF00004.32
XP_015752737.1,AAA,PF00004.32
XP_015758750.1,AAA,PF00004.32
XP_015754688.1,AAA,PF00004.32
XP_015756787.1,AAA,PF00004.32
XP_015778527.1,AAA,PF00004.32
XP_015758588.1,AAA,PF00004.32
XP_015776406.1,AAA,PF00004.32
XP_015773938.1,AAA,PF00004.32
XP_015766067.1,AAA,PF00004.32
XP_015748576.1,AAA,PF00004.32
XP_015771206.1,AAA,PF00004.32
XP_015754687.1,AAA,PF00004.32
XP_015778957.1,AAA,PF00004.32
XP_015761610.1,AAA,PF00004.32
XP_015761603.1,AAA,PF00004.32
XP_015749278.1,AAA,PF00004.32
XP_015777488.1,AAA,PF00004.32
XP_015749282.1,AAA,PF00004.32
XP_015752897.1,AAA,PF00004.32
XP_015750503.1,AAA,PF00004.32
XP_015752896.1,AAA,PF00004.32
XP_015776405.1,AAA,PF00004.32
XP_015748225.1,AAA,PF00004.32
XP_015765633.1,AAA,PF00004.32
XP_015765634.1,AAA,PF00004.32
XP_015765636.1,AAA,PF00004.32
XP_015765637.1,AAA,PF00004.32
XP_015775025.1,AAA,PF00004.32
XP_015773435.1,AAA,PF00004.32
XP_015760593.1,AAA,PF00004.32
XP_015749597.1,AAA,PF00004.32
XP_015765631.1,AAA,PF00004.32
XP_015765630.1,AAA,PF00004.32
XP_015779499.1,AAA,PF00004.32
XP_015747894.1,AAA,PF00004.32
XP_015764730.1,AAA,PF00004.32
XP_015777470.1,AAA,PF00004.32
XP_015776647.1,AAA,PF00004.32
XP_015772188.1,AAA,PF00004.32
XP_015748578.1,AAA,PF00004.32
XP_015748099.1,AAA,PF00004.32
XP_015748100.1,AAA,PF00004.32
XP_015748577.1,AAA,PF00004.32
XP_015759303.1,AAA,PF00004.32
XP_015759304.1,AAA,PF00004.32
XP_015759305.1,AAA,PF00004.32
XP_015759306.1,AAA,PF00004.32
XP_015748098.1,AAA,PF00004.32
XP_015765640.1,AAA,PF00004.32
XP_015748096.1,AAA,PF00004.32
XP_015748097.1,AAA,PF00004.32
XP_015765639.1,AAA,PF00004.32
XP_015748095.1,AAA,PF00004.32
XP_015765638.1,AAA,PF00004.32
XP_015749997.1,AAA,PF00004.32
XP_015755568.1,AAA,PF00004.32
XP_015757861.1,AAA,PF00004.32
XP_015777474.1,AAA,PF00004.32
XP_015773438.1,AAA,PF00004.32
XP_015777473.1,AAA,PF00004.32
XP_015772577.1,AAA,PF00004.32
XP_015765632.1,AAA,PF00004.32
XP_015771262.1,AAA,PF00004.32
XP_015755121.1,AAA,PF00004.32
XP_015755120.1,AAA,PF00004.32
XP_015755118.1,AAA,PF00004.32
XP_015755119.1,AAA,PF00004.32
XP_015780271.1,AAA,PF00004.32
XP_015771761.1,AAA,PF00004.32
XP_015769552.1,AAA,PF00004.32
XP_015748575.1,AAA,PF00004.32
XP_015754567.1,AAA,PF00004.32
XP_015754566.1,AAA,PF00004.32
XP_015748574.1,AAA,PF00004.32
XP_015753061.1,AAA,PF00004.32
XP_015761936.1,AAA,PF00004.32
XP_015761935.1,AAA,PF00004.32
XP_015766430.1,AAA,PF00004.32
XP_015777148.1,AAA,PF00004.32
XP_015759544.1,AAA,PF00004.32
XP_015757215.1,AAA,PF00004.32
XP_015757216.1,AAA,PF00004.32
XP_015752501.1,AAA,PF00004.32
XP_015761049.1,AAA,PF00004.32
XP_015761050.1,AAA,PF00004.32
XP_015748193.1,AAA,PF00004.32
XP_015748620.1,AAA,PF00004.32
XP_015776694.1,AAA,PF00004.32
XP_015755922.1,AAA,PF00004.32
XP_015749372.1,AAA,PF00004.32
XP_015752619.1,AAA,PF00004.32
XP_015778695.1,AAA,PF00004.32
XP_015773345.1,AAA,PF00004.32
XP_015764081.1,AAA,PF00004.32
XP_015748897.1,AAA,PF00004.32
XP_015764925.1,AAA,PF00004.32
XP_015767918.1,AAA,PF00004.32
XP_015758877.1,AAA,PF00004.32
XP_015775392.1,AAA,PF00004.32
XP_015756904.1,AAA,PF00004.32
XP_015775964.1,AAA,PF00004.32
XP_015775963.1,AAA,PF00004.32
XP_015747841.1,AAA,PF00004.32
XP_015775962.1,AAA,PF00004.32
XP_015775961.1,AAA,PF00004.32
XP_015775959.1,AAA,PF00004.32
XP_015775960.1,AAA,PF00004.32
XP_015775958.1,AAA,PF00004.32
XP_015774340.1,AAA,PF00004.32
XP_015775955.1,AAA,PF00004.32
XP_015775956.1,AAA,PF00004.32
XP_015778694.1,AAA,PF00004.32
XP_015775953.1,AAA,PF00004.32
XP_015775954.1,AAA,PF00004.32
XP_015775912.1,AAA,PF00004.32
XP_015766343.1,AAA,PF00004.32
XP_015759418.1,AAA,PF00004.32
XP_015779256.1,AAA,PF00004.32
XP_015775968.1,AAA,PF00004.32
XP_015757169.1,AAA,PF00004.32
XP_015757170.1,AAA,PF00004.32
XP_015757171.1,AAA,PF00004.32
XP_015757172.1,AAA,PF00004.32
XP_015757173.1,AAA,PF00004.32
XP_015776653.1,AAA,PF00004.32
XP_015775965.1,AAA,PF00004.32
XP_015775967.1,AAA,PF00004.32
XP_015775966.1,AAA,PF00004.32
XP_015764083.1,AAA,PF00004.32
XP_015764082.1,AAA,PF00004.32
XP_015777700.1,AAA,PF00004.32
XP_015750118.1,AAA,PF00004.32
XP_015764079.1,AAA,PF00004.32
XP_015756903.1,AAA,PF00004.32
XP_015764078.1,AAA,PF00004.32
XP_015762971.1,AAA,PF00004.32
XP_015763010.1,AAA,PF00004.32
XP_015762970.1,AAA,PF00004.32
XP_015764077.1,AAA,PF00004.32
XP_015748916.1,AAA,PF00004.32
XP_015764080.1,AAA,PF00004.32
XP_015750067.1,AAA,PF00004.32
XP_015764075.1,AAA,PF00004.32
XP_015764073.1,AAA,PF00004.32
XP_015764074.1,AAA,PF00004.32
XP_015764072.1,AAA,PF00004.32
XP_015764071.1,AAA,PF00004.32
XP_015778444.1,AAA,PF00004.32
XP_015761027.1,AAA,PF00004.32
XP_015764070.1,AAA,PF00004.32
XP_015747312.1,AAA,PF00004.32
XP_015765643.1,AAA,PF00004.32
XP_015764202.1,AAA,PF00004.32
XP_015764069.1,AAA,PF00004.32
XP_015764068.1,AAA,PF00004.32
XP_015764067.1,AAA,PF00004.32
XP_015777699.1,AAA,PF00004.32
XP_015778397.1,AAA,PF00004.32
XP_015764066.1,AAA,PF00004.32
XP_015752796.1,AAA,PF00004.32
XP_015778396.1,AAA,PF00004.32
XP_015769559.1,AAA,PF00004.32
XP_015752795.1,AAA,PF00004.32
XP_015764125.1,AAA,PF00004.32
XP_015768376.1,AAA,PF00004.32
XP_015776651.1,AAA,PF00004.32
XP_015772579.1,AAA,PF00004.32
XP_015768074.1,AAA,PF00004.32
XP_015768079.1,AAA,PF00004.32
XP_015768073.1,AAA,PF00004.32
XP_015768078.1,AAA,PF00004.32
XP_015768076.1,AAA,PF00004.32
XP_015768075.1,AAA,PF00004.32
XP_015747490.1,AAA,PF00004.32
XP_015779664.1,AAA,PF00004.32
XP_015772428.1,AAA,PF00004.32
XP_015763304.1,AAA,PF00004.32
XP_015776068.1,AAA,PF00004.32
XP_015747310.1,AAA,PF00004.32
XP_015768964.1,AAA,PF00004.32
XP_015774782.1,AAA,PF00004.32
XP_015748199.1,AAA,PF00004.32
XP_015749608.1,AAA,PF00004.32
XP_015775398.1,AAA,PF00004.32
XP_015775399.1,AAA,PF00004.32
XP_015767940.1,AAA,PF00004.32
XP_015780700.1,AAA,PF00004.32
XP_015771079.1,AAA,PF00004.32
XP_015775400.1,AAA,PF00004.32
XP_015762966.1,AAA,PF00004.32
XP_015770215.1,AAA,PF00004.32
XP_015758910.1,AAA,PF00004.32
XP_015770214.1,AAA,PF00004.32
XP_015762963.1,AAA,PF00004.32
XP_015775402.1,AAA,PF00004.32
XP_015762268.1,AAA,PF00004.32
XP_015759335.1,AAA,PF00004.32
XP_015770213.1,AAA,PF00004.32
XP_015770212.1,AAA,PF00004.32
XP_015766419.1,AAA,PF00004.32
XP_015749085.1,AAA,PF00004.32
XP_015776866.1,AAA,PF00004.32
XP_015753922.1,AAA,PF00004.32
XP_015769096.1,AAA,PF00004.32
XP_015774775.1,AAA,PF00004.32
XP_015774779.1,AAA,PF00004.32
XP_015763292.1,AAA,PF00004.32
XP_015774780.1,AAA,PF00004.32
XP_015764741.1,AAA,PF00004.32
XP_015775416.1,AAA,PF00004.32
XP_015777752.1,AAA,PF00004.32
XP_015767670.1,AAA,PF00004.32
XP_015769570.1,AAA,PF00004.32
XP_015771064.1,AAA,PF00004.32
XP_015761498.1,AAA,PF00004.32
XP_015760441.1,AAA,PF00004.32
XP_015769567.1,AAA,PF00004.32
XP_015767777.1,AAA,PF00004.32
XP_015769568.1,AAA,PF00004.32
XP_015768066.1,AAA,PF00004.32
XP_015754165.1,AAA,PF00004.32
XP_015755398.1,AAA,PF00004.32
XP_015761026.1,AAA,PF00004.32
XP_015771899.1,AAA,PF00004.32
XP_015769566.1,AAA,PF00004.32
XP_015769265.1,AAA,PF00004.32
XP_015769565.1,AAA,PF00004.32
XP_015769564.1,AAA,PF00004.32
XP_015779663.1,AAA,PF00004.32
XP_015756440.1,AAA,PF00004.32
XP_015780144.1,AAA,PF00004.32
XP_015776125.1,AAA,PF00004.32
XP_015776650.1,AAA,PF00004.32
XP_015776124.1,AAA,PF00004.32
XP_015779673.1,AAA,PF00004.32
XP_015779643.1,AAA,PF00004.32
XP_015779648.1,AAA,PF00004.32
XP_015779654.1,AAA,PF00004.32
XP_015779659.1,AAA,PF00004.32
XP_015779666.1,AAA,PF00004.32
XP_015748082.1,AAA,PF00004.32
XP_015762964.1,AAA,PF00004.32
XP_015773786.1,AAA,PF00004.32
XP_015779198.1,AAA,PF00004.32
XP_015755210.1,AAA,PF00004.32
XP_015756439.1,AAA,PF00004.32
XP_015747313.1,AAA,PF00004.32
XP_015756437.1,AAA,PF00004.32
XP_015763872.1,AAA,PF00004.32
XP_015759313.1,AAA,PF00004.32
XP_015776066.1,AAA,PF00004.32
XP_015756438.1,AAA,PF00004.32
XP_015755803.1,AAA,PF00004.32
XP_015772730.1,AAA,PF00004.32
XP_015772729.1,AAA,PF00004.32
XP_015757684.1,AAA,PF00004.32
XP_015772728.1,AAA,PF00004.32
XP_015767989.1,AAA,PF00004.32
XP_015767988.1,AAA,PF00004.32
XP_015776063.1,AAA,PF00004.32
XP_015771071.1,AAA,PF00004.32
XP_015776067.1,AAA,PF00004.32
XP_015772727.1,AAA,PF00004.32
XP_015776062.1,AAA,PF00004.32
XP_015767792.1,AAA,PF00004.32
XP_015776061.1,AAA,PF00004.32
XP_015776065.1,AAA,PF00004.32
XP_015757683.1,AAA,PF00004.32
XP_015776060.1,AAA,PF00004.32
XP_015776064.1,AAA,PF00004.32
XP_015776058.1,AAA,PF00004.32
XP_015776059.1,AAA,PF00004.32
XP_015776057.1,AAA,PF00004.32
XP_015763406.1,AAA,PF00004.32
XP_015776056.1,AAA,PF00004.32
XP_015776055.1,AAA,PF00004.32
XP_015776054.1,AAA,PF00004.32
XP_015771029.1,AAA,PF00004.32
XP_015770919.1,AAA,PF00004.32
XP_015767808.1,AAA,PF00004.32
XP_015767791.1,AAA,PF00004.32
XP_015771028.1,AAA,PF00004.32
XP_015748911.1,AAA,PF00004.32
XP_015767790.1,AAA,PF00004.32
XP_015780422.1,AAA,PF00004.32
XP_015758503.1,AAA,PF00004.32
XP_015758511.1,AAA,PF00004.32
XP_015748908.1,AAA,PF00004.32
XP_015748909.1,AAA,PF00004.32
XP_015748910.1,AAA,PF00004.32
XP_015776652.1,AAA,PF00004.32
XP_015751008.1,AAA,PF00004.32
XP_015771027.1,AAA,PF00004.32
XP_015755719.1,AAA,PF00004.32
XP_015774009.1,AAA,PF00004.32
XP_015777174.1,AAA,PF00004.32
XP_015748161.1,AAA,PF00004.32
XP_015764046.1,AAA,PF00004.32
XP_015747147.1,AAA,PF00004.32
XP_015767787.1,AAA,PF00004.32
XP_015767788.1,AAA,PF00004.32
XP_015767789.1,AAA,PF00004.32
XP_015766765.1,AAA,PF00004.32
XP_015758518.1,AAA,PF00004.32
XP_015758526.1,AAA,PF00004.32
XP_015777401.1,AAA,PF00004.32
XP_015771001.1,AAA,PF00004.32
XP_015764062.1,AAA,PF00004.32
XP_015764063.1,AAA,PF00004.32
XP_015764064.1,AAA,PF00004.32
XP_015764065.1,AAA,PF00004.32
XP_015764061.1,AAA,PF00004.32
XP_015764058.1,AAA,PF00004.32
XP_015764057.1,AAA,PF00004.32
XP_015764059.1,AAA,PF00004.32
XP_015764060.1,AAA,PF00004.32
XP_015770834.1,AAA,PF00004.32
XP_015780910.1,AAA,PF00004.32
XP_015771081.1,AAA,PF00004.32
XP_015772028.1,AAA,PF00004.32
XP_015778611.1,AAA,PF00004.32
XP_015776301.1,AAA,PF00004.32
XP_015747367.1,AAA,PF00004.32
XP_015756824.1,AAA,PF00004.32
XP_015764734.1,AAA,PF00004.32
XP_015756273.1,AAA,PF00004.32
XP_015748912.1,AAA,PF00004.32
XP_015772293.1,AAA,PF00004.32
XP_015764733.1,AAA,PF00004.32
XP_015777734.1,AAA,PF00004.32
XP_015772027.1,AAA,PF00004.32
XP_015772026.1,AAA,PF00004.32
XP_015752292.1,AAA,PF00004.32
XP_015765412.1,AAA,PF00004.32
XP_015772025.1,AAA,PF00004.32
XP_015772023.1,AAA,PF00004.32
XP_015772021.1,AAA,PF00004.32
XP_015772022.1,AAA,PF00004.32
XP_015747659.1,AAA,PF00004.32
XP_015750450.1,AAA,PF00004.32
XP_015780767.1,AAA,PF00004.32
XP_015749871.1,AAA,PF00004.32
XP_015775396.1,AAA,PF00004.32
XP_015748519.1,AAA,PF00004.32
XP_015758477.1,AAA,PF00004.32
XP_015749379.1,AAA,PF00004.32
XP_015775395.1,AAA,PF00004.32
XP_015779508.1,AAA,PF00004.32
XP_015780766.1,AAA,PF00004.32
XP_015760109.1,AAA,PF00004.32
XP_015771170.1,AAA,PF00004.32
XP_015752742.1,AAA,PF00004.32
XP_015779452.1,AAA,PF00004.32
XP_015771169.1,AAA,PF00004.32
XP_015757163.1,AAA,PF00004.32
XP_015779450.1,AAA,PF00004.32
XP_015756235.1,AAA,PF00004.32
XP_015770755.1,AAA,PF00004.32
XP_015748967.1,AAA,PF00004.32
XP_015766754.1,AAA,PF00004.32
XP_015769910.1,AAA,PF00004.32
XP_015748083.1,AAA,PF00004.32
XP_015775394.1,AAA,PF00004.32
XP_015775393.1,AAA,PF00004.32
XP_015780918.1,AAA,PF00004.32
XP_015766751.1,AAA,PF00004.32
XP_015771360.1,AAA,PF00004.32
XP_015752115.1,AAA,PF00004.32
XP_015779460.1,AAA,PF00004.32
XP_015748249.1,AAA,PF00004.32
XP_015768546.1,AAA,PF00004.32
XP_015749945.1,AAA,PF00004.32
XP_015748248.1,AAA,PF00004.32
XP_015752392.1,AAA,PF00004.32
XP_015766758.1,AAA,PF00004.32
XP_015763293.1,AAA,PF00004.32
XP_015755029.1,AAA,PF00004.32
XP_015752286.1,AAA,PF00004.32
XP_015754401.1,AAA,PF00004.32
XP_015780920.1,AAA,PF00004.32
XP_015780921.1,AAA,PF00004.32
XP_015767194.1,AAA,PF00004.32
XP_015752391.1,AAA,PF00004.32
XP_015777518.1,AAA,PF00004.32
XP_015749374.1,AAA,PF00004.32
XP_015777175.1,AAA,PF00004.32
XP_015780255.1,AAA,PF00004.32
XP_015777168.1,AAA,PF00004.32
XP_015777169.1,AAA,PF00004.32
XP_015748198.1,AAA,PF00004.32
XP_015777173.1,AAA,PF00004.32
XP_015763960.1,AAA,PF00004.32
XP_015754672.1,AAA,PF00004.32
XP_015772009.1,AAA,PF00004.32
XP_015772010.1,AAA,PF00004.32
XP_015777167.1,AAA,PF00004.32
XP_015772012.1,AAA,PF00004.32
XP_015767848.1,AAA,PF00004.32
XP_015777171.1,AAA,PF00004.32
XP_015776867.1,AAA,PF00004.32
XP_015777170.1,AAA,PF00004.32
XP_015750231.1,AAA,PF00004.32
XP_015750232.1,AAA,PF00004.32
XP_015750233.1,AAA,PF00004.32
XP_015750234.1,AAA,PF00004.32
XP_015750235.1,AAA,PF00004.32
XP_015757283.1,AAA,PF00004.32
XP_015763055.1,AAA,PF00004.32
XP_015777166.1,AAA,PF00004.32
XP_015767779.1,AAA,PF00004.32
XP_015777164.1,AAA,PF00004.32
XP_015777165.1,AAA,PF00004.32
XP_015754067.1,AAA,PF00004.32
XP_015756823.1,AAA,PF00004.32
XP_015758485.1,AAA,PF00004.32
XP_015758492.1,AAA,PF00004.32
XP_015759852.1,AAA,PF00004.32
XP_015779463.1,AAA,PF00004.32
XP_015777756.1,AAA,PF00004.32
XP_015758912.1,AAA,PF00004.32
XP_015778905.1,AAA,PF00004.32
XP_015779870.1,AAA,PF00004.32
XP_015777755.1,AAA,PF00004.32
XP_015778512.1,AAA,PF00004.32
XP_015749293.1,AAA,PF00004.32
XP_015774266.1,AAA,PF00004.32
XP_015764978.1,AAA,PF00004.32
XP_015748412.1,AAA,PF00004.32
XP_015777519.1,AAA,PF00004.32
XP_015754191.1,AAA,PF00004.32
XP_015779564.1,AAA,PF00004.32
XP_015780420.1,AAA,PF00004.32
XP_015753645.1,AAA,PF00004.32
XP_015754524.1,AAA,PF00004.32
XP_015747435.1,AAA,PF00004.32
XP_015766755.1,AAA,PF00004.32
XP_015756756.1,AAA,PF00004.32
XP_015765582.1,AAA,PF00004.32
XP_015765589.1,AAA,PF00004.32
XP_015771449.1,AAA,PF00004.32
XP_015750251.1,AAA,PF00004.32
XP_015763057.1,AAA,PF00004.32
XP_015774111.1,AAA,PF00004.32
XP_015779196.1,AAA,PF00004.32
XP_015778917.1,AAA,PF00004.32
XP_015778912.1,AAA,PF00004.32
XP_015778913.1,AAA,PF00004.32
XP_015778914.1,AAA,PF00004.32
XP_015778915.1,AAA,PF00004.32
XP_015778916.1,AAA,PF00004.32
XP_015755804.1,AAA,PF00004.32
XP_015766756.1,AAA,PF00004.32
XP_015752318.1,AAA,PF00004.32
XP_015778165.1,AAA,PF00004.32
XP_015778166.1,AAA,PF00004.32
XP_015778167.1,AAA,PF00004.32
XP_015778169.1,AAA,PF00004.32
XP_015778170.1,AAA,PF00004.32
XP_015778171.1,AAA,PF00004.32
XP_015778172.1,AAA,PF00004.32
XP_015757217.1,AAA,PF00004.32
XP_015764100.1,AAA,PF00004.32
XP_015756591.1,AAA,PF00004.32
XP_015778238.1,AAA,PF00004.32
XP_015767800.1,AAA,PF00004.32
XP_015767921.1,AAA,PF00004.32
XP_015759349.1,AAA,PF00004.32
XP_015759350.1,AAA,PF00004.32
XP_015779867.1,AAA,PF00004.32
XP_015773173.1,AAA_22,PF13401.9
XP_015761363.1,AAA_22,PF13401.9
XP_015780411.1,AAA_22,PF13401.9
XP_015769428.1,AAA_22,PF13401.9
XP_015764834.1,AAA_22,PF13401.9
XP_015748185.1,AAA_22,PF13401.9
XP_015778527.1,AAA_22,PF13401.9
XP_015749627.1,AAA_22,PF13401.9
XP_015770017.1,AAA_22,PF13401.9
XP_015769419.1,AAA_22,PF13401.9
